"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031290","GO:0031290","retinal ganglion cell axon guidance","6/1276","17/13486",0.00351074785114791,0.0238940450764694,0.0177756211273575,"NRCAM/NRP1/BMPR1B/PTPRO/EFNA5/ROBO2",6
"GO:0061318","GO:0061318","renal filtration cell differentiation","6/1276","17/13486",0.00351074785114791,0.0238940450764694,0.0177756211273575,"PROM1/JAG1/PTPRO/MYO1E/KLF15/CD24",6
"GO:0072112","GO:0072112","podocyte differentiation","6/1276","17/13486",0.00351074785114791,0.0238940450764694,0.0177756211273575,"PROM1/JAG1/PTPRO/MYO1E/KLF15/CD24",6
"GO:0072311","GO:0072311","glomerular epithelial cell differentiation","6/1276","17/13486",0.00351074785114791,0.0238940450764694,0.0177756211273575,"PROM1/JAG1/PTPRO/MYO1E/KLF15/CD24",6
"GO:0015833","GO:0015833","peptide transport","31/1276","198/13486",0.00351695104062806,0.0239038298371143,0.017782900355194,"ABCC8/BAIAP3/NR1H4/CD74/PTPRN/SREBF1/SMPD3/SFRP1/SLC15A3/TRPV4/CNR1/FKBP1B/IL1B/PAX8/VGF/ANO1/SNAP25/IL6/RBP4/ABCA12/EPHA5/ITPR1/KCNB1/NEUROD1/INHBB/UCN/CPLX1/EFNA5/PCLO/GABBR1/AQP1",31
"GO:0055074","GO:0055074","calcium ion homeostasis","34/1276","223/13486",0.00358143040491483,0.0243091406103556,0.0180844253050681,"CX3CL1/ATP2B4/P2RX7/CAPN3/CEMIP/JPH1/CXCL12/FAM20A/TRPV4/BNIP1/ATP6V1B1/CNR1/CASQ2/FKBP1B/PTK2B/CCR7/APOE/NT5E/TRPM8/ANK2/ITPR1/GRM1/MCOLN2/THY1/CXCL10/CXCL11/HAP1/TRDN/RYR3/TGM2/LYN/ITGB3/YWHAE/CALB2",34
"GO:0019079","GO:0019079","viral genome replication","21/1276","119/13486",0.00370290085365974,0.025099663083726,0.0186725227969044,"OAS1/OAS3/OAS2/IFIH1/PROX1/TRIM6/SLPI/BST2/RSAD2/OASL/HMGA2/MX1/IFI16/ZC3H12A/IFI27/CXCL8/APOBEC3B/IFIT1/IFITM1/ISG15/IFI27",21
"GO:0010959","GO:0010959","regulation of metal ion transport","40/1276","274/13486",0.00371162235666756,0.0251248282605189,0.0186912440576554,"ABCC8/CX3CL1/PKP2/CAMK2B/ATP2B4/MYLK/NKAIN1/P2RX7/FXYD3/CAPN3/CEMIP/JPH1/CXCL12/PDGFRB/OPRD1/CASQ2/FKBP1B/PTK2B/CXCR4/KCNJ2/KCNC1/FGF13/ANK2/KCNE4/GPD1L/THY1/CABP1/UCN/CXCL10/CXCL11/SLN/GLRX/HAP1/GPR35/KCNE1/LRRC26/TRDN/LYN/ITGB3/YWHAE",40
"GO:0002437","GO:0002437","inflammatory response to antigenic stimulus","11/1276","47/13486",0.00372114830352226,0.0251553637337839,0.0187139604709695,"HCK/CNR1/C3/CCR7/CD68/NOD2/RASGRP1/A2M/HLA-E/HLA-E/LYN",11
"GO:0048863","GO:0048863","stem cell differentiation","31/1276","199/13486",0.00379913355868369,0.0256150049590035,0.0190559037563308,"SOX8/SEMA3B/SNAI2/TP63/NRP1/JAG1/SFRP1/PTN/BMPR1A/SOX6/FN1/RDH10/TRIM6/ZFP36/LIF/ALDH1A2/GSC/PDGFRA/DMRTA2/HMGA2/MSX1/PITX2/SHH/RET/LTBP3/GDNF/A2M/NOG/FOXO4/SHC4/SEMA7A",31
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","49/1276","352/13486",0.00379935480253161,0.0256150049590035,0.0190559037563308,"CX3CL1/PLAUR/SNAI2/CD74/FAS/TRAF1/NGFR/TP63/ENO1/ICAM1/NRP1/PRODH/SRPX/PYCARD/EYA1/SFRP1/SERPINE1/CXCL12/SEPTIN4/NME5/IL1A/CTH/TNFAIP3/IL1B/IFI6/AGT/TLR4/CTSV/MYC/ITGAV/BMPR1B/COL2A1/ACKR3/CREB3L1/ATF3/INHBB/CTSS/MSX1/RET/PLEKHF1/BDKRB2/GDNF/CRADD/RTKN2/NOG/IER3/IER3/PRODH/SOD2",49
"GO:0048608","GO:0048608","reproductive structure development","34/1276","224/13486",0.00384959908945782,0.025918911453316,0.0192819904939993,"SOX8/MAMLD1/PTPRN/TP63/SFRP1/IL1A/RDH10/TNFAIP6/EREG/C3/VGF/PDGFRA/DMRT1/CYP19A1/CYP1B1/RBP4/BMPR1B/DHH/ADAMTS1/MMP14/INHBB/PTX3/SHH/AXL/ROR2/ID4/A2M/DMRTA1/KCNE1/TEX19/NOG/ROBO2/PTCH1/STRA6",34
"GO:0031644","GO:0031644","regulation of nervous system process","16/1276","82/13486",0.00388164238817644,0.0260996222776046,0.0194164276366382,"PTK2B/EGR2/MYRF/ITGAX/IGSF11/TNFRSF21/TMEM25/GRM1/ITGA2/TMEM100/GBA1/GPR35/NRXN1/BEGAIN/NLGN3/SHANK3",16
"GO:0048644","GO:0048644","muscle organ morphogenesis","12/1276","54/13486",0.00394109785001584,0.0264639180932791,0.0196874401159813,"PKP2/MYLK/BMPR1A/MYL2/PROX1/LIF/GSC/TTN/EFEMP2/TCAP/NOG/COL3A1",12
"GO:0045639","GO:0045639","positive regulation of myeloid cell differentiation","15/1276","75/13486",0.00399099494538602,0.0267004985688334,0.0198634406586322,"CD74/JAG1/IL23A/STAT1/PRMT1/LIF/CD101/KLF10/IL34/ROR2/FOS/TRIB1/HCLS1/ISG15/EVI2B",15
"GO:0045833","GO:0045833","negative regulation of lipid metabolic process","15/1276","75/13486",0.00399099494538602,0.0267004985688334,0.0198634406586322,"SNAI2/DKK3/SREBF1/FMO4/CEACAM1/PROX1/CNR1/IL1B/APOE/CH25H/ALK/SPHK1/APOD/PDGFA/PLIN5",15
"GO:0016032","GO:0016032","viral process","53/1276","388/13486",0.0039922994271581,0.0267004985688334,0.0198634406586322,"CD74/LAMP3/OAS1/ICAM1/TFAP4/PCSK5/NRP1/OAS3/OAS2/IFIH1/STAT1/PROX1/VAMP8/TRIM6/CXCR4/SLPI/PRMT1/ZFP36/APOE/ACE2/BST2/TRIM22/RSAD2/OASL/CH25H/ITGAV/PARP9/GSN/HMGA2/MX1/F11R/IFI16/PTX3/ZC3H12A/ITGA2/CHMP4C/IFI27/AXL/LGALS9/CXCL8/JUN/CIITA/APOBEC3B/TMPRSS2/IFIT1/IFITM1/ISG15/DPP4/TRIM13/CSNK2B/ITGB3/IFI27/IRF7",53
"GO:0007548","GO:0007548","sex differentiation","32/1276","208/13486",0.00402278975402264,0.0268685930841246,0.0199884920849538,"SOX8/MAMLD1/PTPRN/TP63/SFRP1/BMPR1A/IL1A/RDH10/TNFAIP6/EREG/VGF/PDGFRA/DMRT1/CYP19A1/CYP1B1/RBP4/BMPR1B/DHH/DMRTA2/ADAMTS1/MMP14/INHBB/PTX3/SHH/AXL/ROR2/A2M/DMRTA1/KCNE1/TEX19/ROBO2/STRA6",32
"GO:0070664","GO:0070664","negative regulation of leukocyte proliferation","13/1276","61/13486",0.00404173545518359,0.0269468621888159,0.0200467192267591,"ARG2/IL4I1/TNFAIP3/SDC4/GPNMB/IL33/TNFRSF21/ENPP3/SHH/LGALS9/PLA2G2A/PDCD1LG2/LYN",13
"GO:0014032","GO:0014032","neural crest cell development","14/1276","68/13486",0.00405062481865374,0.0269468621888159,0.0200467192267591,"SOX8/SEMA3B/SNAI2/NRP1/JAG1/BMPR1A/FN1/RDH10/ALDH1A2/PITX2/SHH/RET/GDNF/SEMA7A",14
"GO:0032481","GO:0032481","positive regulation of type I interferon production","14/1276","68/13486",0.00405062481865374,0.0269468621888159,0.0200467192267591,"POLR3B/OAS1/RIGI/OAS3/OAS2/POLR3G/IFIH1/STAT1/IRF1/IRF5/TLR4/CD14/ISG15/IRF7",14
"GO:0043616","GO:0043616","keratinocyte proliferation","10/1276","41/13486",0.0040643710520126,0.0270024969495301,0.0200881078834223,"SNAI2/TP63/IRF6/CDKN1A/EREG/ZFP36/HAS2/LRG1/PTCH1/EPPK1",10
"GO:0010975","GO:0010975","regulation of neuron projection development","56/1276","415/13486",0.00408906829085318,0.0271233345152148,0.0201780032016361,"ITGA3/CX3CL1/SEMA3B/MUSK/LRRC7/CAMK2B/SEZ6/NTN1/PAK3/CHRNA3/NRCAM/NRP1/ZDHHC15/SFRP1/NOVA2/PTN/CXCL12/RND2/TRPV4/NR2E1/FN1/CNR1/FKBP1B/PTK2B/FGF13/APOE/SNAP25/AVIL/KLF4/MGARP/ZNF365/CARM1/NTRK2/TBX6/PTPRO/DAB2/THY1/DRAXIN/SERPINI1/FAT3/RET/ROR2/EFNA1/MINAR1/ALK/FUT9/SLITRK1/CDH4/EFHC2/EFNA5/ROBO2/L1CAM/PLXNA4/SHANK3/LYN/SEMA7A",56
"GO:0007043","GO:0007043","cell-cell junction assembly","21/1276","120/13486",0.0040987814119882,0.0271233345152148,0.0201780032016361,"NR1H4/SNAI2/PRKCH/PKP2/WNT11/LSR/TRPV4/IL1B/CDH15/ACE2/AGT/ANK2/ESAM/PTPRO/F11R/GJB2/CDH4/GJC1/OCLN/ARL2/PECAM1",21
"GO:0008217","GO:0008217","regulation of blood pressure","21/1276","120/13486",0.0040987814119882,0.0271233345152148,0.0201780032016361,"ACSM3/PTGS1/PCSK5/KCNK6/ACTA2/CNR1/SGK1/ACE2/POSTN/AGT/ADM/PTPRO/UCN/GUCY1A1/ERAP2/NPR1/ADRA1B/HSD11B2/IER3/IER3/SOD2",21
"GO:0032535","GO:0032535","regulation of cellular component size","47/1276","336/13486",0.00412225243027966,0.0272427117131526,0.0202668121008826,"CCL26/SEMA3B/CAPG/NTN1/PAK3/PPP1R15A/ARHGAP28/P2RX7/NRCAM/NRP1/HCK/PYCARD/CCL24/CXCL12/RND2/CRACD/TRPV4/FN1/PTK2B/CCR7/FGF13/APOE/VAV3/AVIL/SPTBN5/ARHGAP18/GSN/ADD3/ESAM/KCNMA1/ALOX15/DRAXIN/UCN/RET/AQP4/CDH4/HCLS1/NEB/EFNA5/CYRIA/L1CAM/PLXNA4/AQP1/SHANK3/RILP/CLN8/SEMA7A",47
"GO:0002218","GO:0002218","activation of innate immune response","34/1276","225/13486",0.0041346471935786,0.0272886714776187,0.0203010031873077,"NR1H4/BIRC3/ALPK1/PAK3/OAS1/IRAK3/NLRP1/HCK/PYCARD/RIGI/MAP2K6/SLC15A3/OAS3/IFIH1/TNFAIP3/NMI/IRF1/RFTN1/IRAK2/RSAD2/OASL/TLR4/DDX60/GBP5/LY96/PIK3AP1/CTSS/IFI16/NOD2/CD14/TMEM126A/LACC1/LYN/IRF7",34
"GO:0034367","GO:0034367","protein-containing complex remodeling","7/1276","23/13486",0.00420938498545304,0.0276003595908921,0.0205328789452095,"NR1H4/PCSK5/PLTP/APOE/AGT/LPL/PLA2G2A",7
"GO:0042044","GO:0042044","fluid transport","7/1276","23/13486",0.00420938498545304,0.0276003595908921,0.0205328789452095,"SLC14A1/ITPR1/AQP7/HAS2/AQP4/AQP1/AQP7B",7
"GO:0060333","GO:0060333","type II interferon-mediated signaling pathway","7/1276","23/13486",0.00420938498545304,0.0276003595908921,0.0205328789452095,"TXK/HCK/HPX/STAT1/IRF1/PARP9/PARP14",7
"GO:0072012","GO:0072012","glomerulus vasculature development","7/1276","23/13486",0.00420938498545304,0.0276003595908921,0.0205328789452095,"ACTA2/PDGFRB/TEK/PDGFRA/AQP1/ITGB3/PECAM1",7
"GO:0099560","GO:0099560","synaptic membrane adhesion","7/1276","23/13486",0.00420938498545304,0.0276003595908921,0.0205328789452095,"ITGA3/MDGA1/LRRC4B/PCDH8/SLITRK1/EFNA5/SLITRK2",7
"GO:0033674","GO:0033674","positive regulation of kinase activity","40/1276","276/13486",0.00421908296415866,0.0276264478596333,0.0205522869265509,"CAMKK1/CD74/INSRR/MUSK/ATP2B4/CHRNA3/EEF1A2/CEMIP/IL23A/FGF1/PDGFRB/PROX1/TEK/PTK2B/CDKN1A/EREG/IL1B/CCR7/CHI3L1/PDGFRA/AGAP2/AGT/TLR4/NTRK2/HMGA2/IL34/NEK10/TGFBR2/RET/NOD2/AXL/AXIN2/ROR2/EFNA1/ALK/RASGRP1/TCIM/PDGFA/ITGB3/CD24",40
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","38/1276","259/13486",0.00422631220220695,0.0276264478596333,0.0205522869265509,"ITGA3/ADGRA2/DKK3/CHRDL2/ATP2B4/NGFR/BAMBI/NRP1/SFRP1/SFRP4/MTMR4/LOX/FGF1/TGFB3/TNFAIP6/PMEPA1/IL1B/CITED1/PRMT1/WFIKKN1/AGT/CILP/GPC3/CDKN2B/CRB2/ADAMTS3/CREB3L1/MSX1/NPNT/LRG1/WFIKKN2/FGFBP3/SHISA2/NOG/SPRED3/ITGB3/VASN/SINHCAF",38
"GO:0016485","GO:0016485","protein processing","29/1276","184/13486",0.00422988675362807,0.0276264478596333,0.0205522869265509,"PLAUR/ENO1/CPXM1/P2RX7/PCSK5/GGT1/PCSK1N/PLAT/SERPINE1/AEBP1/CPZ/RFX4/PLAU/MYRF/ACE2/DHH/GSN/ADAMTS3/MMP14/CTSS/IFI16/SHH/PCSK1/MBOAT4/TMPRSS2/PTCH1/MME/DPP4/C1R",29
"GO:0006816","GO:0006816","calcium ion transport","43/1276","302/13486",0.00428543265785062,0.0279528351258501,0.0207950979016911,"CX3CL1/SCN4A/CAMK2B/ATP2B4/MYLK/P2RX7/CAPN3/P2RX6/CEMIP/JPH1/CXCL12/TRPV4/PDGFRB/BNIP1/OPRD1/CASQ2/FKBP1B/PTK2B/CXCR4/CCR7/SCN2A/ITGAV/ANXA9/TRPM8/ANK2/ITPR1/MCOLN2/THY1/CABP1/UCN/CXCL10/CXCL11/SLN/HAP1/ORAI3/GPR35/TRDN/CACNA1E/RYR3/LYN/ITGB3/YWHAE/PKD1L2",43
"GO:0071634","GO:0071634","regulation of transforming growth factor beta production","9/1276","35/13486",0.00432485516290476,0.0281733422040653,0.0209591408783286,"CX3CL1/WNT11/BMPR1A/FN1/MYB/AGT/ITGAV/LGALS9/CD24",9
"GO:0050807","GO:0050807","regulation of synapse organization","32/1276","209/13486",0.00433164894352214,0.0281810001306187,0.0209648378794266,"MUSK/CAMK2B/NTN1/PAK3/NRCAM/ZDHHC15/ICAM5/MDGA1/PTK2B/APOE/LRRC4B/SNAP25/PCDH8/AMIGO2/NTRK2/GPR158/PTPRO/CLSTN2/SHANK2/ROR2/EFNA1/FRMPD4/LRRN1/SLITRK1/NRXN1/EFNA5/SLITRK6/ROBO2/SLITRK2/NLGN3/COLQ/SHANK3",32
"GO:0062014","GO:0062014","negative regulation of small molecule metabolic process","16/1276","83/13486",0.00439669755195001,0.0285179223480892,0.0212154861756015,"SNAI2/DKK3/ATP2B4/FMO4/CEACAM1/PROX1/CNR1/CBFA2T3/APOE/CH25H/ATCAY/ERFE/PRKG1/IER3/PLIN5/IER3",16
"GO:0006775","GO:0006775","fat-soluble vitamin metabolic process","8/1276","29/13486",0.00441754897616932,0.0285179223480892,0.0212154861756015,"CYP26B1/CYP24A1/SNAI2/PLTP/LIPA/ALDH1A2/BCO1/CYP1A1",8
"GO:0010712","GO:0010712","regulation of collagen metabolic process","8/1276","29/13486",0.00441754897616932,0.0285179223480892,0.0212154861756015,"FAP/MYB/TGFB3/IL6/CREB3L1/UCN/ITGA2/CIITA",8
"GO:0032735","GO:0032735","positive regulation of interleukin-12 production","8/1276","29/13486",0.00441754897616932,0.0285179223480892,0.0212154861756015,"IL23A/IRF1/CCR7/IRF5/TLR4/LAPTM5/NOD2/LGALS9",8
"GO:0048806","GO:0048806","genitalia development","8/1276","29/13486",0.00441754897616932,0.0285179223480892,0.0212154861756015,"TP63/PDGFRA/CYP19A1/RBP4/SHH/AXL/ROR2/STRA6",8
"GO:1990573","GO:1990573","potassium ion import across plasma membrane","8/1276","29/13486",0.00441754897616932,0.0285179223480892,0.0212154861756015,"ABCC8/ATP12A/KCNJ2/KCNJ16/KCNK5/KCNJ10/KCNJ14/KCNJ12",8
"GO:0031214","GO:0031214","biomineral tissue development","21/1276","121/13486",0.00452923265621232,0.0292013251973792,0.0217238936088116,"WNT11/PTHLH/P2RX7/SMPD3/PTN/BMPR1A/COL1A1/FAM20A/MGP/TENT5A/LOX/PTK2B/BMPR1B/GPC3/KLF10/ALOX15/LTBP3/AXIN2/ROR2/ISG15/CCDC154",21
"GO:0015908","GO:0015908","fatty acid transport","15/1276","76/13486",0.00454801866213605,0.0292302874351233,0.0217454396368488,"SLC27A5/P2RX7/MAP2K6/SLC27A6/IL1A/IL1B/APOE/SLC43A3/PLA2R1/BDKRB2/SLCO2A1/ERFE/PLA2G2A/ACSL5/SLC27A3",15
"GO:0042472","GO:0042472","inner ear morphogenesis","15/1276","76/13486",0.00454801866213605,0.0292302874351233,0.0217454396368488,"DLX6/NTN1/ANKRD24/EYA1/DLX5/ATP6V1B1/PROX1/PAX8/MYO7A/COL2A1/CLRN1/CTHRC1/TCAP/SLITRK6/POU3F4",15
"GO:0048562","GO:0048562","embryonic organ morphogenesis","33/1276","218/13486",0.00455120703485472,0.0292302874351233,0.0217454396368488,"DLX6/NTN1/WNT11/ANKRD24/TBX15/EYA1/DLX5/ATP6V1B1/PROX1/TGFB3/RDH10/PAX8/GSC/PDGFRA/HLX/MYO7A/RBP4/COL2A1/CRB2/TBX6/MMP14/NEUROD1/MSX1/TGFBR2/CLRN1/SHH/CTHRC1/EFNA1/TCAP/NOG/SLITRK6/POU3F4/STRA6",33
"GO:0033077","GO:0033077","T cell differentiation in thymus","14/1276","69/13486",0.00464976279636055,0.0298250769648907,0.022187924502757,"CD74/TNFRSF9/IL1A/IL1B/CCR7/ITPKB/IL2RG/MR1/FZD7/SHH/RASGRP1/FZD8/GBA1/EGR3",14
"GO:2000146","GO:2000146","negative regulation of cell motility","37/1276","252/13486",0.004659386540204,0.0298486371464409,0.0222054517510562,"ABCC8/CX3CL1/CD74/ATP2B4/NGFR/FBLN1/WNT11/JAG1/TIMP1/SFRP1/SERPINE1/CXCL12/BMPR1A/ARHGDIB/IGFBP5/TNFAIP6/APOE/BST2/KLF4/IL33/CYP19A1/CYP1B1/DNAJA4/IGFBP3/THY1/SHH/TRIB1/NOG/PRKG1/IFITM1/APOD/DPP4/CSNK2B/EPPK1/SINHCAF/PADI2/COL3A1",37
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","13/1276","62/13486",0.00468132831258995,0.0299509474693255,0.0222815640012505,"OAS1/OAS3/OAS2/IFIH1/STAT1/TRIM6/IFI27/STAT2/IFNE/IFITM1/ISG15/IFI27/IRF7",13
"GO:0002285","GO:0002285","lymphocyte activation involved in immune response","24/1276","145/13486",0.0047204620943175,0.0301628507835625,0.0224392063350393,"CD74/IL4R/CEACAM1/ICAM1/MFNG/RELB/JAK3/POU2AF1/IL23A/MYB/TNFSF18/PTK2B/FGL2/IL6/HLX/TLR4/ZC3H12A/NFKBID/LGALS9/JUNB/IFNE/HLA-DRA/HLA-F/HLA-F",24
"GO:0061458","GO:0061458","reproductive system development","34/1276","227/13486",0.00475871755123071,0.0303686097162509,0.0225922776471312,"SOX8/MAMLD1/PTPRN/TP63/SFRP1/IL1A/RDH10/TNFAIP6/EREG/C3/VGF/PDGFRA/DMRT1/CYP19A1/CYP1B1/RBP4/BMPR1B/DHH/ADAMTS1/MMP14/INHBB/PTX3/SHH/AXL/ROR2/ID4/A2M/DMRTA1/KCNE1/TEX19/NOG/ROBO2/PTCH1/STRA6",34
"GO:0009651","GO:0009651","response to salt stress","6/1276","18/13486",0.00484985028731056,0.0307934797989237,0.0229083534557174,"CAPN3/TRPV4/PAPPA2/PTK2B/BDKRB2/AQP1",6
"GO:0032740","GO:0032740","positive regulation of interleukin-17 production","6/1276","18/13486",0.00484985028731056,0.0307934797989237,0.0229083534557174,"NR1H4/IL23A/RFTN1/IL6/NOD2/SPHK1",6
"GO:0060252","GO:0060252","positive regulation of glial cell proliferation","6/1276","18/13486",0.00484985028731056,0.0307934797989237,0.0229083534557174,"PRKCH/NTN1/MYB/IL1B/IL6/LYN",6
"GO:0060343","GO:0060343","trabecula formation","6/1276","18/13486",0.00484985028731056,0.0307934797989237,0.0229083534557174,"SFRP1/COL1A1/TEK/RBP4/SLC40A1/ADAMTS1",6
"GO:0043277","GO:0043277","apoptotic cell clearance","10/1276","42/13486",0.00489146285037692,0.031018429402643,0.0230757013834403,"C3/ITGAV/ALOX15/AXL/RAC3/TGM2/XKR9/C4A/C4B/ITGB3",10
"GO:0032355","GO:0032355","response to estradiol","16/1276","84/13486",0.00496626728486457,0.0314530261374756,0.0233990131909156,"SFRP1/COL1A1/CRYAB/ALDH1A2/CCDC62/POSTN/CYP19A1/CYP1B1/HNRNPD/DHH/UCN/HPGD/ITGA2/GJB2/SSTR2/PTCH1",16
"GO:0051897","GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","21/1276","122/13486",0.00499649754023704,0.0314825853776286,0.0234210033500574,"CX3CL1/MUSK/HBEGF/PDGFRB/FN1/IGFBP5/TEK/CCR7/GDF15/CHI3L1/PDGFRA/AGT/NTRK2/PIK3AP1/MYORG/RET/AXL/ROR2/ERFE/HCLS1/PDGFA",21
"GO:0002864","GO:0002864","regulation of acute inflammatory response to antigenic stimulus","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"CNR1/C3/CCR7/HLA-E/HLA-E",5
"GO:0010893","GO:0010893","positive regulation of steroid biosynthetic process","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"SREBF1/FGF1/IL1A/ADM/DAB2",5
"GO:0016048","GO:0016048","detection of temperature stimulus","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"NGFR/CXCL12/CXCR4/MMP24/ANO1",5
"GO:0016264","GO:0016264","gap junction assembly","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"IL1B/ACE2/AGT/GJB2/GJC1",5
"GO:0030213","GO:0030213","hyaluronan biosynthetic process","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"HAS3/SMPD3/CEMIP/IL1B/HAS2",5
"GO:0030540","GO:0030540","female genitalia development","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"TP63/CYP19A1/RBP4/AXL/STRA6",5
"GO:0032303","GO:0032303","regulation of icosanoid secretion","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"P2RX7/MAP2K6/IL1A/IL1B/PLA2R1",5
"GO:0032305","GO:0032305","positive regulation of icosanoid secretion","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"P2RX7/MAP2K6/IL1A/IL1B/PLA2R1",5
"GO:0043552","GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"PDGFRB/TEK/CCR7/PDGFRA/NOD2",5
"GO:0048486","GO:0048486","parasympathetic nervous system development","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"NRP1/EGR2/ACKR3/GDNF/PLXNA4",5
"GO:0051770","GO:0051770","positive regulation of nitric-oxide synthase biosynthetic process","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"MAP2K6/STAT1/TLR4/IL33/NOD2",5
"GO:0071599","GO:0071599","otic vesicle development","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"EYA1/PROX1/PAX8/COL2A1/TCAP",5
"GO:0071625","GO:0071625","vocalization behavior","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"BRINP1/SHANK2/NRXN1/NLGN3/SHANK3",5
"GO:0098743","GO:0098743","cell aggregation","5/1276","13/13486",0.00506508102068307,0.0314825853776286,0.0234210033500574,"SOX6/MGP/BMPR1B/COL2A1/MPZ",5
"GO:0008585","GO:0008585","female gonad development","15/1276","77/13486",0.00516661499881848,0.0320342902769759,0.023831436042953,"PTPRN/SFRP1/TNFAIP6/EREG/VGF/PDGFRA/CYP19A1/BMPR1B/ADAMTS1/MMP14/INHBB/PTX3/A2M/DMRTA1/ROBO2",15
"GO:0060021","GO:0060021","roof of mouth development","15/1276","77/13486",0.00516661499881848,0.0320342902769759,0.023831436042953,"DLX6/SNAI2/WNT11/DLX5/BMPR1A/IRF6/TGFB3/WFIKKN1/PDGFRA/COL2A1/MSX1/TGFBR2/SHH/WFIKKN2/COL11A2",15
"GO:0022617","GO:0022617","extracellular matrix disassembly","11/1276","49/13486",0.00522696797477568,0.0323285713458383,0.0240503620878445,"FAP/MMP19/IL6/CTSV/MMP7/MMP14/ADAMTS4/CTSS/PBXIP1/ADAMTS15/DPP4",11
"GO:0051965","GO:0051965","positive regulation of synapse assembly","11/1276","49/13486",0.00522696797477568,0.0323285713458383,0.0240503620878445,"LRRC4B/AMIGO2/NTRK2/CLSTN2/LRRN1/SLITRK1/NRXN1/EFNA5/SLITRK6/SLITRK2/NLGN3",11
"GO:0007044","GO:0007044","cell-substrate junction assembly","17/1276","92/13486",0.00530901493326913,0.0327150109401449,0.0243378481035032,"LAMA3/COL17A1/COL16A1/SORBS1/NRP1/SFRP1/FN1/TEK/PTK2B/SDC4/THSD1/THY1/MMP14/ITGA2/EFNA5/APOD/ITGB3",17
"GO:0010717","GO:0010717","regulation of epithelial to mesenchymal transition","17/1276","92/13486",0.00530901493326913,0.0327150109401449,0.0243378481035032,"BAMBI/JAG1/SFRP1/COL1A1/TGFB3/IL1B/AGT/IL6/CRB2/DAB2/TGFBR2/AXIN2/EFNA1/LRG1/NOG/SPRED3/VASN",17
"GO:0048709","GO:0048709","oligodendrocyte differentiation","17/1276","92/13486",0.00530901493326913,0.0327150109401449,0.0243378481035032,"SOX8/TP73/FA2H/PTN/SOX6/CXCR4/NEUROD4/MYRF/IL33/ZNF365/TNFRSF21/NTRK2/IL34/SHH/ID4/KCNJ10/LYN",17
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","42/1276","297/13486",0.00532837795561233,0.0327940415034987,0.0243966417212085,"CX3CL1/CCL26/CAPG/PAK3/RAPGEF3/WNT11/ARHGAP28/NRP1/HCK/PYCARD/SFRP1/CCL24/CXCL12/CRACD/PDGFRB/IL1A/PROX1/TGFB3/PTK2B/SDC4/CCR7/CGNL1/BST2/PDGFRA/AVIL/SPTBN5/EPHA5/ARHGAP18/GSN/ADD3/ESAM/F11R/ALOX15/RAC3/SYNPO2/HCLS1/NEB/EFNA5/PDGFA/CYRIA/SHANK3/ITGB3",42
"GO:0055117","GO:0055117","regulation of cardiac muscle contraction","12/1276","56/13486",0.00538150055700527,0.0330804004827677,0.024609674244819,"EHD3/PKP2/CASQ2/FKBP1B/KCNJ2/FGF13/ACE2/ANK2/UCN/ZC3H12A/ADRA1B/CTNNA3",12
"GO:0002726","GO:0002726","positive regulation of T cell cytokine production","7/1276","24/13486",0.00546516281756935,0.0333494606969925,0.0248098376082512,"IL1R1/IL1B/RSAD2/IL6/HLA-A/DENND1B/HLA-A",7
"GO:0006958","GO:0006958","complement activation, classical pathway","7/1276","24/13486",0.00546516281756935,0.0333494606969925,0.0248098376082512,"C7/C3/C1S/CFI/C4A/C4B/C1R",7
"GO:0032965","GO:0032965","regulation of collagen biosynthetic process","7/1276","24/13486",0.00546516281756935,0.0333494606969925,0.0248098376082512,"MYB/TGFB3/IL6/CREB3L1/UCN/ITGA2/CIITA",7
"GO:0033006","GO:0033006","regulation of mast cell activation involved in immune response","7/1276","24/13486",0.00546516281756935,0.0333494606969925,0.0248098376082512,"GAB2/STXBP2/IL4R/VAMP8/ENPP3/LGALS9/LYN",7
